"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42623","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Fri Aug 01 02:24:15 GMT 2025","failed","Fri Aug 01 02:24:58 GMT 2025","","","",""
"","42648","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Fri Aug 01 02:25:03 GMT 2025","failed","Fri Aug 01 02:25:46 GMT 2025","","","",""
"","43509","TC1 - Verify user is able to login with valid email and valid password","Authorization","Fri Aug 01 02:22:39 GMT 2025","failed","Fri Aug 01 02:23:23 GMT 2025","","","",""
"","42789","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Fri Aug 01 02:23:28 GMT 2025","failed","Fri Aug 01 02:24:11 GMT 2025","","","",""
