"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43004","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Thu Feb 12 02:43:29 UTC 2026","failed","Thu Feb 12 02:44:12 UTC 2026","","","",""
"","43746","TC1 - Verify user is able to login with valid email and valid password","Authorization","Thu Feb 12 02:41:05 UTC 2026","failed","Thu Feb 12 02:41:48 UTC 2026","","","",""
"","42965","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Thu Feb 12 02:41:53 UTC 2026","failed","Thu Feb 12 02:42:36 UTC 2026","","","",""
"","43056","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Thu Feb 12 02:42:41 UTC 2026","failed","Thu Feb 12 02:43:24 UTC 2026","","","",""
