"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42656","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Wed May 14 01:52:02 GMT 2025","failed","Wed May 14 01:52:44 GMT 2025","","","",""
"","42619","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Wed May 14 01:52:49 GMT 2025","failed","Wed May 14 01:53:32 GMT 2025","","","",""
"","42636","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Wed May 14 01:53:36 GMT 2025","failed","Wed May 14 01:54:19 GMT 2025","","","",""
"","43593","TC1 - Verify user is able to login with valid email and valid password","Authorization","Wed May 14 01:51:13 GMT 2025","failed","Wed May 14 01:51:57 GMT 2025","","","",""
