"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43074","TC1 - Verify user is able to login with valid email and valid password","Authorization","Thu Oct 09 01:43:29 UTC 2025","failed","Thu Oct 09 01:44:12 UTC 2025","","","",""
"","42267","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Thu Oct 09 01:45:05 UTC 2025","failed","Thu Oct 09 01:45:47 UTC 2025","","","",""
"","42357","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Thu Oct 09 01:45:53 UTC 2025","failed","Thu Oct 09 01:46:35 UTC 2025","","","",""
"","42314","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Thu Oct 09 01:44:17 UTC 2025","failed","Thu Oct 09 01:45:00 UTC 2025","","","",""
