"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 01:22:03 GMT 2024","Tue Jul 02 01:22:12 GMT 2024","9231","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Tue Jul 02 01:23:34 GMT 2024","Tue Jul 02 01:24:29 GMT 2024","55155","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Tue Jul 02 01:24:29 GMT 2024","Tue Jul 02 01:25:06 GMT 2024","36630","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"failed","Tue Jul 02 01:17:19 GMT 2024","Tue Jul 02 01:18:02 GMT 2024","43425","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"failed","Tue Jul 02 01:22:48 GMT 2024","Tue Jul 02 01:23:29 GMT 2024","40991","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Tue Jul 02 01:20:02 GMT 2024","Tue Jul 02 01:20:11 GMT 2024","9258","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Tue Jul 02 01:18:07 GMT 2024","Tue Jul 02 01:19:02 GMT 2024","55038","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Tue Jul 02 01:22:12 GMT 2024","Tue Jul 02 01:22:48 GMT 2024","35453","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Tue Jul 02 01:21:02 GMT 2024","Tue Jul 02 01:21:58 GMT 2024","55524","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Tue Jul 02 01:25:06 GMT 2024","Tue Jul 02 01:26:04 GMT 2024","57985","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Tue Jul 02 01:19:02 GMT 2024","Tue Jul 02 01:20:02 GMT 2024","60147","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Tue Jul 02 01:26:04 GMT 2024","Tue Jul 02 01:26:15 GMT 2024","11765","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Tue Jul 02 01:20:11 GMT 2024","Tue Jul 02 01:21:02 GMT 2024","50541","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
