"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42336","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Fri Jan 09 02:06:10 UTC 2026","failed","Fri Jan 09 02:06:53 UTC 2026","","","",""
"","42345","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Fri Jan 09 02:05:23 UTC 2026","failed","Fri Jan 09 02:06:05 UTC 2026","","","",""
"","42266","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Fri Jan 09 02:04:35 UTC 2026","failed","Fri Jan 09 02:05:18 UTC 2026","","","",""
"","42938","TC1 - Verify user is able to login with valid email and valid password","Authorization","Fri Jan 09 02:03:47 UTC 2026","failed","Fri Jan 09 02:04:30 UTC 2026","","","",""
