"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42347","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Fri May 02 01:50:28 GMT 2025","failed","Fri May 02 01:51:11 GMT 2025","","","",""
"","43860","TC1 - Verify user is able to login with valid email and valid password","Authorization","Fri May 02 01:49:38 GMT 2025","failed","Fri May 02 01:50:22 GMT 2025","","","",""
"","42232","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Fri May 02 01:51:16 GMT 2025","failed","Fri May 02 01:51:58 GMT 2025","","","",""
"","42292","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Fri May 02 01:52:04 GMT 2025","failed","Fri May 02 01:52:46 GMT 2025","","","",""
