"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 03 01:21:48 GMT 2024","Wed Jul 03 01:22:24 GMT 2024","35745","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"failed","Wed Jul 03 01:22:24 GMT 2024","Wed Jul 03 01:23:52 GMT 2024","88011","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Wed Jul 03 01:19:40 GMT 2024","Wed Jul 03 01:19:48 GMT 2024","8350","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"failed","Wed Jul 03 01:16:57 GMT 2024","Wed Jul 03 01:17:40 GMT 2024","43376","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Wed Jul 03 01:20:39 GMT 2024","Wed Jul 03 01:21:34 GMT 2024","55376","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Wed Jul 03 01:25:28 GMT 2024","Wed Jul 03 01:26:26 GMT 2024","58447","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Wed Jul 03 01:21:39 GMT 2024","Wed Jul 03 01:21:48 GMT 2024","8781","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Wed Jul 03 01:23:57 GMT 2024","Wed Jul 03 01:24:51 GMT 2024","54664","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Wed Jul 03 01:19:48 GMT 2024","Wed Jul 03 01:20:39 GMT 2024","50539","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Wed Jul 03 01:17:45 GMT 2024","Wed Jul 03 01:18:40 GMT 2024","54682","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Wed Jul 03 01:24:51 GMT 2024","Wed Jul 03 01:25:28 GMT 2024","36354","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Wed Jul 03 01:18:40 GMT 2024","Wed Jul 03 01:19:40 GMT 2024","59702","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Wed Jul 03 01:26:26 GMT 2024","Wed Jul 03 01:26:38 GMT 2024","12147","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
