"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41873","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Tue Apr 01 01:56:34 GMT 2025","failed","Tue Apr 01 01:57:16 GMT 2025","","","",""
"","41871","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Tue Apr 01 01:57:22 GMT 2025","failed","Tue Apr 01 01:58:04 GMT 2025","","","",""
"","42188","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Tue Apr 01 01:58:10 GMT 2025","failed","Tue Apr 01 01:58:52 GMT 2025","","","",""
"","43571","TC1 - Verify user is able to login with valid email and valid password","Authorization","Tue Apr 01 01:55:45 GMT 2025","failed","Tue Apr 01 01:56:28 GMT 2025","","","",""
