"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 01:21:41 GMT 2024","Fri Jun 28 01:22:17 GMT 2024","36355","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Fri Jun 28 01:24:47 GMT 2024","Fri Jun 28 01:25:23 GMT 2024","36664","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Fri Jun 28 01:18:32 GMT 2024","Fri Jun 28 01:19:30 GMT 2024","58208","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Fri Jun 28 01:25:23 GMT 2024","Fri Jun 28 01:26:22 GMT 2024","58992","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"failed","Fri Jun 28 01:16:49 GMT 2024","Fri Jun 28 01:17:33 GMT 2024","43421","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Fri Jun 28 01:19:30 GMT 2024","Fri Jun 28 01:19:39 GMT 2024","8471","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Fri Jun 28 01:19:39 GMT 2024","Fri Jun 28 01:20:31 GMT 2024","51928","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Fri Jun 28 01:26:23 GMT 2024","Fri Jun 28 01:26:35 GMT 2024","12664","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"failed","Fri Jun 28 01:22:17 GMT 2024","Fri Jun 28 01:23:46 GMT 2024","88314","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Fri Jun 28 01:21:32 GMT 2024","Fri Jun 28 01:21:41 GMT 2024","8685","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Fri Jun 28 01:17:38 GMT 2024","Fri Jun 28 01:18:32 GMT 2024","54492","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Fri Jun 28 01:20:31 GMT 2024","Fri Jun 28 01:21:27 GMT 2024","55952","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Fri Jun 28 01:23:51 GMT 2024","Fri Jun 28 01:24:47 GMT 2024","56140","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
