"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43196","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sat Jan 04 01:35:02 GMT 2025","failed","Sat Jan 04 01:35:45 GMT 2025","","","",""
"","42325","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sat Jan 04 01:37:25 GMT 2025","failed","Sat Jan 04 01:38:08 GMT 2025","","","",""
"","42410","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sat Jan 04 01:36:38 GMT 2025","failed","Sat Jan 04 01:37:20 GMT 2025","","","",""
"","42624","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sat Jan 04 01:35:50 GMT 2025","failed","Sat Jan 04 01:36:33 GMT 2025","","","",""
