"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42261","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Wed Feb 26 01:41:00 GMT 2025","failed","Wed Feb 26 01:41:42 GMT 2025","","","",""
"","42294","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Wed Feb 26 01:40:13 GMT 2025","failed","Wed Feb 26 01:40:55 GMT 2025","","","",""
"","43147","TC1 - Verify user is able to login with valid email and valid password","Authorization","Wed Feb 26 01:39:25 GMT 2025","failed","Wed Feb 26 01:40:08 GMT 2025","","","",""
"","42323","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Wed Feb 26 01:41:47 GMT 2025","failed","Wed Feb 26 01:42:30 GMT 2025","","","",""
