"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 04 01:37:47 GMT 2024","Fri Oct 04 01:38:29 GMT 2024","42316","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Fri Oct 04 01:38:34 GMT 2024","Fri Oct 04 01:39:17 GMT 2024","42337","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"failed","Fri Oct 04 01:39:22 GMT 2024","Fri Oct 04 01:40:04 GMT 2024","42356","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"failed","Fri Oct 04 01:36:58 GMT 2024","Fri Oct 04 01:37:41 GMT 2024","43092","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
