"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43410","TC1 - Verify user is able to login with valid email and valid password","Authorization","Mon Jan 26 02:20:12 UTC 2026","failed","Mon Jan 26 02:20:56 UTC 2026","","","",""
"","42794","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Mon Jan 26 02:21:01 UTC 2026","failed","Mon Jan 26 02:21:43 UTC 2026","","","",""
"","42739","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Mon Jan 26 02:22:36 UTC 2026","failed","Mon Jan 26 02:23:19 UTC 2026","","","",""
"","42636","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Mon Jan 26 02:21:48 UTC 2026","failed","Mon Jan 26 02:22:31 UTC 2026","","","",""
