"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42575","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sun Dec 29 01:45:18 GMT 2024","failed","Sun Dec 29 01:46:01 GMT 2024","","","",""
"","43439","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sun Dec 29 01:44:30 GMT 2024","failed","Sun Dec 29 01:45:13 GMT 2024","","","",""
"","42594","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sun Dec 29 01:46:05 GMT 2024","failed","Sun Dec 29 01:46:48 GMT 2024","","","",""
"","42592","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sun Dec 29 01:46:53 GMT 2024","failed","Sun Dec 29 01:47:36 GMT 2024","","","",""
