"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60281","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sat Nov 29 01:51:23 UTC 2025","broken","Sat Nov 29 01:52:24 UTC 2025","","","",""
"","60385","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sat Nov 29 01:52:26 UTC 2025","broken","Sat Nov 29 01:53:27 UTC 2025","","","",""
"","60423","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sat Nov 29 01:50:19 UTC 2025","broken","Sat Nov 29 01:51:20 UTC 2025","","","",""
"","60272","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sat Nov 29 01:53:30 UTC 2025","broken","Sat Nov 29 01:54:30 UTC 2025","","","",""
