"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 27 01:18:41 GMT 2024","Sat Jul 27 01:19:23 GMT 2024","42215","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Sat Jul 27 01:19:28 GMT 2024","Sat Jul 27 01:20:10 GMT 2024","42260","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"failed","Sat Jul 27 01:17:53 GMT 2024","Sat Jul 27 01:18:36 GMT 2024","42997","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"failed","Sat Jul 27 01:20:16 GMT 2024","Sat Jul 27 01:20:58 GMT 2024","42291","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
