"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43237","TC1 - Verify user is able to login with valid email and valid password","Authorization","Tue Feb 18 01:36:53 GMT 2025","failed","Tue Feb 18 01:37:36 GMT 2025","","","",""
"","42309","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Tue Feb 18 01:39:16 GMT 2025","failed","Tue Feb 18 01:39:58 GMT 2025","","","",""
"","42350","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Tue Feb 18 01:37:41 GMT 2025","failed","Tue Feb 18 01:38:24 GMT 2025","","","",""
"","42322","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Tue Feb 18 01:38:29 GMT 2025","failed","Tue Feb 18 01:39:11 GMT 2025","","","",""
