"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 09 01:28:13 GMT 2024","Mon Sep 09 01:28:56 GMT 2024","42563","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Mon Sep 09 01:29:48 GMT 2024","Mon Sep 09 01:30:31 GMT 2024","42616","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"failed","Mon Sep 09 01:27:24 GMT 2024","Mon Sep 09 01:28:08 GMT 2024","43284","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"failed","Mon Sep 09 01:29:01 GMT 2024","Mon Sep 09 01:29:43 GMT 2024","42609","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
