"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 20 01:28:50 GMT 2024","Fri Sep 20 01:29:33 GMT 2024","42553","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"failed","Fri Sep 20 01:28:02 GMT 2024","Fri Sep 20 01:28:45 GMT 2024","43303","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Fri Sep 20 01:27:14 GMT 2024","Fri Sep 20 01:27:57 GMT 2024","43184","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"failed","Fri Sep 20 01:29:38 GMT 2024","Fri Sep 20 01:30:20 GMT 2024","42564","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
