"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42155","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Mon Sep 22 01:53:52 UTC 2025","failed","Mon Sep 22 01:54:34 UTC 2025","","","",""
"","43081","TC1 - Verify user is able to login with valid email and valid password","Authorization","Mon Sep 22 01:51:28 UTC 2025","failed","Mon Sep 22 01:52:11 UTC 2025","","","",""
"","42175","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Mon Sep 22 01:53:05 UTC 2025","failed","Mon Sep 22 01:53:47 UTC 2025","","","",""
"","42106","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Mon Sep 22 01:52:17 UTC 2025","failed","Mon Sep 22 01:52:59 UTC 2025","","","",""
