"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 22 01:24:03 GMT 2024","Thu Aug 22 01:24:46 GMT 2024","42604","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"failed","Thu Aug 22 01:24:50 GMT 2024","Thu Aug 22 01:25:33 GMT 2024","42601","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"failed","Thu Aug 22 01:22:27 GMT 2024","Thu Aug 22 01:23:11 GMT 2024","43378","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"failed","Thu Aug 22 01:23:16 GMT 2024","Thu Aug 22 01:23:58 GMT 2024","42667","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
