"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42224","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sat Sep 06 01:42:23 UTC 2025","failed","Sat Sep 06 01:43:05 UTC 2025","","","",""
"","42176","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sat Sep 06 01:43:11 UTC 2025","failed","Sat Sep 06 01:43:53 UTC 2025","","","",""
"","43202","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sat Sep 06 01:40:44 UTC 2025","failed","Sat Sep 06 01:41:28 UTC 2025","","","",""
"","42208","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sat Sep 06 01:41:34 UTC 2025","failed","Sat Sep 06 01:42:16 UTC 2025","","","",""
