"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41995","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Fri Feb 07 01:39:15 GMT 2025","failed","Fri Feb 07 01:39:57 GMT 2025","","","",""
"","42042","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Fri Feb 07 01:38:28 GMT 2025","failed","Fri Feb 07 01:39:10 GMT 2025","","","",""
"","41970","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Fri Feb 07 01:37:40 GMT 2025","failed","Fri Feb 07 01:38:22 GMT 2025","","","",""
"","43252","TC1 - Verify user is able to login with valid email and valid password","Authorization","Fri Feb 07 01:36:51 GMT 2025","failed","Fri Feb 07 01:37:34 GMT 2025","","","",""
