"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42076","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Mon Apr 06 02:56:19 UTC 2026","failed","Mon Apr 06 02:57:01 UTC 2026","","","",""
"","42077","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Mon Apr 06 02:57:07 UTC 2026","failed","Mon Apr 06 02:57:49 UTC 2026","","","",""
"","42094","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Mon Apr 06 02:55:31 UTC 2026","failed","Mon Apr 06 02:56:13 UTC 2026","","","",""
"","43282","TC1 - Verify user is able to login with valid email and valid password","Authorization","Mon Apr 06 02:54:41 UTC 2026","failed","Mon Apr 06 02:55:24 UTC 2026","","","",""
