"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43716","TC1 - Verify user is able to login with valid email and valid password","Authorization","Wed May 27 04:12:33 UTC 2026","failed","Wed May 27 04:13:17 UTC 2026","","","",""
"","43228","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Wed May 27 04:13:22 UTC 2026","failed","Wed May 27 04:14:05 UTC 2026","","","",""
"","43077","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Wed May 27 04:14:10 UTC 2026","failed","Wed May 27 04:14:53 UTC 2026","","","",""
"","43085","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Wed May 27 04:14:58 UTC 2026","failed","Wed May 27 04:15:41 UTC 2026","","","",""
