"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42649","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Fri Jun 13 01:58:07 GMT 2025","failed","Fri Jun 13 01:58:50 GMT 2025","","","",""
"","42664","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Fri Jun 13 01:57:20 GMT 2025","failed","Fri Jun 13 01:58:03 GMT 2025","","","",""
"","42656","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Fri Jun 13 01:56:33 GMT 2025","failed","Fri Jun 13 01:57:15 GMT 2025","","","",""
"","43211","TC1 - Verify user is able to login with valid email and valid password","Authorization","Fri Jun 13 01:55:45 GMT 2025","failed","Fri Jun 13 01:56:28 GMT 2025","","","",""
