"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42190","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sun Apr 19 03:24:12 UTC 2026","failed","Sun Apr 19 03:24:54 UTC 2026","","","",""
"","43422","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sun Apr 19 03:22:35 UTC 2026","failed","Sun Apr 19 03:23:19 UTC 2026","","","",""
"","42210","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sun Apr 19 03:25:00 UTC 2026","failed","Sun Apr 19 03:25:42 UTC 2026","","","",""
"","42187","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sun Apr 19 03:23:25 UTC 2026","failed","Sun Apr 19 03:24:07 UTC 2026","","","",""
