"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42310","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Mon Nov 11 01:38:28 GMT 2024","failed","Mon Nov 11 01:39:10 GMT 2024","","","",""
"","42313","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Mon Nov 11 01:39:15 GMT 2024","failed","Mon Nov 11 01:39:57 GMT 2024","","","",""
"","43518","TC1 - Verify user is able to login with valid email and valid password","Authorization","Mon Nov 11 01:37:39 GMT 2024","failed","Mon Nov 11 01:38:22 GMT 2024","","","",""
"","42356","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Mon Nov 11 01:40:02 GMT 2024","failed","Mon Nov 11 01:40:45 GMT 2024","","","",""
