"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41951","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Wed Dec 11 01:46:44 GMT 2024","failed","Wed Dec 11 01:47:26 GMT 2024","","","",""
"","42968","TC1 - Verify user is able to login with valid email and valid password","Authorization","Wed Dec 11 01:45:55 GMT 2024","failed","Wed Dec 11 01:46:38 GMT 2024","","","",""
"","41890","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Wed Dec 11 01:48:19 GMT 2024","failed","Wed Dec 11 01:49:01 GMT 2024","","","",""
"","41888","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Wed Dec 11 01:47:32 GMT 2024","failed","Wed Dec 11 01:48:13 GMT 2024","","","",""
