"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43286","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sun Jun 22 02:04:32 GMT 2025","failed","Sun Jun 22 02:05:15 GMT 2025","","","",""
"","42657","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sun Jun 22 02:06:08 GMT 2025","failed","Sun Jun 22 02:06:50 GMT 2025","","","",""
"","42619","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sun Jun 22 02:06:55 GMT 2025","failed","Sun Jun 22 02:07:38 GMT 2025","","","",""
"","42671","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sun Jun 22 02:05:20 GMT 2025","failed","Sun Jun 22 02:06:03 GMT 2025","","","",""
