"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43083","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Fri Feb 06 02:31:59 UTC 2026","failed","Fri Feb 06 02:32:42 UTC 2026","","","",""
"","43710","TC1 - Verify user is able to login with valid email and valid password","Authorization","Fri Feb 06 02:31:11 UTC 2026","failed","Fri Feb 06 02:31:54 UTC 2026","","","",""
"","43184","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Fri Feb 06 02:32:47 UTC 2026","failed","Fri Feb 06 02:33:30 UTC 2026","","","",""
"","43147","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Fri Feb 06 02:33:35 UTC 2026","failed","Fri Feb 06 02:34:18 UTC 2026","","","",""
