"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43994","TC1 - Verify user is able to login with valid email and valid password","Authorization","Mon Jun 02 01:58:01 GMT 2025","failed","Mon Jun 02 01:58:45 GMT 2025","","","",""
"","42751","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Mon Jun 02 01:58:50 GMT 2025","failed","Mon Jun 02 01:59:33 GMT 2025","","","",""
"","42659","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Mon Jun 02 01:59:38 GMT 2025","failed","Mon Jun 02 02:00:20 GMT 2025","","","",""
"","42691","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Mon Jun 02 02:00:25 GMT 2025","failed","Mon Jun 02 02:01:08 GMT 2025","","","",""
