"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 01:23:14 GMT 2024","Sat Jun 15 01:23:49 GMT 2024","34874","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Sat Jun 15 01:18:03 GMT 2024","Sat Jun 15 01:18:58 GMT 2024","55268","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Sat Jun 15 01:24:44 GMT 2024","Sat Jun 15 01:24:54 GMT 2024","10127","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Sat Jun 15 01:19:52 GMT 2024","Sat Jun 15 01:20:44 GMT 2024","52067","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Sat Jun 15 01:17:11 GMT 2024","Sat Jun 15 01:18:03 GMT 2024","52130","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Sat Jun 15 01:16:23 GMT 2024","Sat Jun 15 01:17:06 GMT 2024","43387","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Sat Jun 15 01:21:31 GMT 2024","Sat Jun 15 01:22:17 GMT 2024","45967","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Sat Jun 15 01:18:58 GMT 2024","Sat Jun 15 01:19:05 GMT 2024","7096","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Sat Jun 15 01:20:50 GMT 2024","Sat Jun 15 01:20:57 GMT 2024","7054","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Sat Jun 15 01:23:49 GMT 2024","Sat Jun 15 01:24:44 GMT 2024","55365","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Sat Jun 15 01:20:57 GMT 2024","Sat Jun 15 01:21:31 GMT 2024","34303","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Sat Jun 15 01:19:06 GMT 2024","Sat Jun 15 01:19:52 GMT 2024","46777","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Sat Jun 15 01:22:22 GMT 2024","Sat Jun 15 01:23:14 GMT 2024","51506","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
