"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 07:17:25 GMT 2024","Wed Jun 05 07:17:32 GMT 2024","6201","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Wed Jun 05 07:20:07 GMT 2024","Wed Jun 05 07:20:13 GMT 2024","6353","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Wed Jun 05 07:16:27 GMT 2024","Wed Jun 05 07:17:25 GMT 2024","58238","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Wed Jun 05 07:23:02 GMT 2024","Wed Jun 05 07:23:59 GMT 2024","57109","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Wed Jun 05 07:20:47 GMT 2024","Wed Jun 05 07:21:32 GMT 2024","45008","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Wed Jun 05 07:21:38 GMT 2024","Wed Jun 05 07:22:28 GMT 2024","50790","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Wed Jun 05 07:17:32 GMT 2024","Wed Jun 05 07:18:22 GMT 2024","50485","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Wed Jun 05 07:18:22 GMT 2024","Wed Jun 05 07:19:14 GMT 2024","51530","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"failed","Wed Jun 05 07:19:19 GMT 2024","Wed Jun 05 07:20:02 GMT 2024","42747","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Wed Jun 05 07:20:13 GMT 2024","Wed Jun 05 07:20:47 GMT 2024","33829","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Wed Jun 05 07:15:33 GMT 2024","Wed Jun 05 07:16:27 GMT 2024","54343","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Wed Jun 05 07:22:28 GMT 2024","Wed Jun 05 07:23:02 GMT 2024","33930","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Wed Jun 05 07:24:00 GMT 2024","Wed Jun 05 07:24:09 GMT 2024","9467","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
