"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42940","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sat Nov 22 01:47:55 UTC 2025","failed","Sat Nov 22 01:48:38 UTC 2025","","","",""
"","43059","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sat Nov 22 01:49:30 UTC 2025","failed","Sat Nov 22 01:50:14 UTC 2025","","","",""
"","42974","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sat Nov 22 01:48:43 UTC 2025","failed","Sat Nov 22 01:49:26 UTC 2025","","","",""
"","43545","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sat Nov 22 01:47:07 UTC 2025","failed","Sat Nov 22 01:47:50 UTC 2025","","","",""
