"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42079","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Thu Mar 05 02:33:51 UTC 2026","failed","Thu Mar 05 02:34:33 UTC 2026","","","",""
"","42101","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Thu Mar 05 02:33:03 UTC 2026","failed","Thu Mar 05 02:33:45 UTC 2026","","","",""
"","42007","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Thu Mar 05 02:32:15 UTC 2026","failed","Thu Mar 05 02:32:57 UTC 2026","","","",""
"","42990","TC1 - Verify user is able to login with valid email and valid password","Authorization","Thu Mar 05 02:31:26 UTC 2026","failed","Thu Mar 05 02:32:09 UTC 2026","","","",""
