"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 06:53:18 GMT 2024","Wed Jun 05 06:54:14 GMT 2024","56530","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Wed Jun 05 06:52:24 GMT 2024","Wed Jun 05 06:53:17 GMT 2024","53003","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"failed","Wed Jun 05 06:54:18 GMT 2024","Wed Jun 05 06:55:00 GMT 2024","42242","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Wed Jun 05 06:55:10 GMT 2024","Wed Jun 05 06:55:45 GMT 2024","35258","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Wed Jun 05 06:55:04 GMT 2024","Wed Jun 05 06:55:10 GMT 2024","5682","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Wed Jun 05 06:58:07 GMT 2024","Wed Jun 05 06:59:06 GMT 2024","59623","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Wed Jun 05 06:50:15 GMT 2024","Wed Jun 05 06:51:16 GMT 2024","60355","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Wed Jun 05 06:56:37 GMT 2024","Wed Jun 05 06:57:31 GMT 2024","53294","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Wed Jun 05 06:59:06 GMT 2024","Wed Jun 05 06:59:14 GMT 2024","7898","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Wed Jun 05 06:55:45 GMT 2024","Wed Jun 05 06:56:33 GMT 2024","48213","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Wed Jun 05 06:52:19 GMT 2024","Wed Jun 05 06:52:24 GMT 2024","5704","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Wed Jun 05 06:51:16 GMT 2024","Wed Jun 05 06:52:19 GMT 2024","62954","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Wed Jun 05 06:57:31 GMT 2024","Wed Jun 05 06:58:07 GMT 2024","35558","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
