"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42308","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Wed Jul 09 01:59:27 GMT 2025","failed","Wed Jul 09 02:00:09 GMT 2025","","","",""
"","43878","TC1 - Verify user is able to login with valid email and valid password","Authorization","Wed Jul 09 01:58:37 GMT 2025","failed","Wed Jul 09 01:59:21 GMT 2025","","","",""
"","42184","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Wed Jul 09 02:00:14 GMT 2025","failed","Wed Jul 09 02:00:57 GMT 2025","","","",""
"","42141","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Wed Jul 09 02:01:02 GMT 2025","failed","Wed Jul 09 02:01:44 GMT 2025","","","",""
