"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42338","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sun Mar 08 02:36:33 UTC 2026","failed","Sun Mar 08 02:37:16 UTC 2026","","","",""
"","42431","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sun Mar 08 02:34:58 UTC 2026","failed","Sun Mar 08 02:35:40 UTC 2026","","","",""
"","43035","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sun Mar 08 02:34:09 UTC 2026","failed","Sun Mar 08 02:34:52 UTC 2026","","","",""
"","42265","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sun Mar 08 02:35:46 UTC 2026","failed","Sun Mar 08 02:36:28 UTC 2026","","","",""
