"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42374","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Thu Jan 09 02:09:30 GMT 2025","failed","Thu Jan 09 02:10:13 GMT 2025","","","",""
"","42328","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Thu Jan 09 02:08:43 GMT 2025","failed","Thu Jan 09 02:09:25 GMT 2025","","","",""
"","42983","TC1 - Verify user is able to login with valid email and valid password","Authorization","Thu Jan 09 02:07:55 GMT 2025","failed","Thu Jan 09 02:08:38 GMT 2025","","","",""
"","42363","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Thu Jan 09 02:10:18 GMT 2025","failed","Thu Jan 09 02:11:00 GMT 2025","","","",""
