"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 01:23:59 GMT 2024","Tue Jun 11 01:24:33 GMT 2024","33676","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Tue Jun 11 01:25:28 GMT 2024","Tue Jun 11 01:25:35 GMT 2024","7526","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Tue Jun 11 01:18:54 GMT 2024","Tue Jun 11 01:19:49 GMT 2024","54832","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Tue Jun 11 01:19:49 GMT 2024","Tue Jun 11 01:19:54 GMT 2024","4967","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Tue Jun 11 01:23:09 GMT 2024","Tue Jun 11 01:23:59 GMT 2024","50188","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Tue Jun 11 01:19:54 GMT 2024","Tue Jun 11 01:20:41 GMT 2024","46786","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Tue Jun 11 01:22:18 GMT 2024","Tue Jun 11 01:23:02 GMT 2024","44574","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Tue Jun 11 01:18:02 GMT 2024","Tue Jun 11 01:18:54 GMT 2024","51685","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Tue Jun 11 01:17:13 GMT 2024","Tue Jun 11 01:17:56 GMT 2024","42763","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Tue Jun 11 01:24:33 GMT 2024","Tue Jun 11 01:25:28 GMT 2024","54664","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Tue Jun 11 01:21:39 GMT 2024","Tue Jun 11 01:21:45 GMT 2024","5543","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Tue Jun 11 01:21:45 GMT 2024","Tue Jun 11 01:22:18 GMT 2024","33053","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Tue Jun 11 01:20:41 GMT 2024","Tue Jun 11 01:21:32 GMT 2024","51076","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
