"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41969","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Sat Mar 22 01:43:49 GMT 2025","failed","Sat Mar 22 01:44:31 GMT 2025","","","",""
"","43186","TC1 - Verify user is able to login with valid email and valid password","Authorization","Sat Mar 22 01:41:25 GMT 2025","failed","Sat Mar 22 01:42:08 GMT 2025","","","",""
"","41989","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Sat Mar 22 01:42:14 GMT 2025","failed","Sat Mar 22 01:42:56 GMT 2025","","","",""
"","42008","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Sat Mar 22 01:43:02 GMT 2025","failed","Sat Mar 22 01:43:44 GMT 2025","","","",""
