"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43638","TC1 - Verify user is able to login with valid email and valid password","Authorization","Mon Dec 23 01:38:44 GMT 2024","failed","Mon Dec 23 01:39:28 GMT 2024","","","",""
"","42347","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields","Create SaaS Subscription","Mon Dec 23 01:40:20 GMT 2024","failed","Mon Dec 23 01:41:03 GMT 2024","","","",""
"","42338","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option","Create SaaS Contract","Mon Dec 23 01:39:33 GMT 2024","failed","Mon Dec 23 01:40:15 GMT 2024","","","",""
"","42286","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account","SaaS Subscription (Template)","Mon Dec 23 01:41:08 GMT 2024","failed","Mon Dec 23 01:41:50 GMT 2024","","","",""
